9,28,43,6,24,1,16,13,17,0,1,19,1,13,14,29,0,19,2,5,20,28,2,16,32,8,18,43,9,22,17,20,31,5,13,32,3,35,45,37,21,28,49,33,16,5,29,19,44,5,10,4,6,16,5,18,28,30,13,51,15,8,12,15,6,4,6,13,5,25,10,38,10,2,22,10,53,11,3,24,10,37,3,9,19,26,15,9,27,11,30,20,15,17,6,9,2,25,0,22,9,15,2,11,50,12,8,8,41,22,2,26,8,20,15,29,8,11,20,19,14,15,26,28,25,24,4,13,16,11,9,8,4,27,21,12,6,10,1,3,1,7,8,20,8,14,32,2,5,14,0,19,22,10,35,2,3
15,7,9,56,19,17,2,1,40,14,23,9,0,0,3,40,29,27,19,1,28,18,19,7,50,17,27,11,15,21,5,12,0,18,13,23,6,29,10,34,11,26,15,26,1,2,5,11,14,20,15,4,42,34,6,24,3,23,22,34,0,54,9,0,7,17,23,31,32,13,10,36,20,35,20,31,21,6,16,11,4,10,19,0,16,12,35,6,11,29,1,10,25,3,17,8,8,26,7,3,3,37,15,21,8,5,0,15,6,11,12,0,1,20,22,4,7,41,9,25,36,9,32,58,32,29,34,36,5,5,29,20,6,3,18,5,18,35,10,42,12,9,3,38,6,19,21,37,14,57,22,32,0,13,16,12,24
9,6,27,10,5,50,13,2,9,4,6,16,7,21,9,20,15,15,27,27,33,14,4,5,53,10,16,29,7,25,23,24,14,30,1,6,3,1,10,26,21,21,0,10,14,23,48,2,15,1,17,2,9,4,24,0,11,32,18,45,11,44,19,26,2,24,35,8,21,17,11,49,1,20,39,9,25,2,55,1,17,3,13,24,6,22,22,16,41,17,32,22,13,30,29,6,20,7,11,19,0,10,28,44,13,4,9,9,31,24,24,4,22,43,50,4,27,1,60,31,5,13,12,13,10,19,30,8,5,14,13,14,9,37,11,10,3,34,11,13,4,12,16,16,28,13,1,9,9,33,12,23,13,32,38,13,25
26,21,38,42,21,24,41,47,33,11,12,28,11,21,16,35,20,51,34,15,29,45,15,23,58,30,19,18,4,1,39,1,2,6,49,9,26,15,9,30,31,15,1,10,3,25,0,11,4,1,22,7,11,17,25,39,2,7,5,34,1,0,34,9,12,1,9,6,29,16,14,27,16,23,8,7,14,23,73,16,39,24,5,4,61,14,0,16,19,5,10,53,5,27,4,2,39,28,61,19,17,27,34,20,11,45,49,23,22,6,32,4,8,15,5,20,51,7,20,16,18,45,10,19,53,9,41,34,14,4,8,34,20,8,32,3,41,35,16,44,16,20,32,12,7,18,27,51,11,32,12,13,35,2,26,11,1
14,2,15,2,43,9,11,1,3,1,3,12,25,22,15,47,46,5,3,1,31,17,25,0,4,4,6,18,2,20,9,16,12,8,18,28,56,9,24,16,36,5,22,10,1,21,27,10,22,53,0,5,10,48,0,1,4,45,19,10,57,41,5,4,45,18,14,19,2,5,4,22,8,18,40,13,9,37,12,15,9,11,14,20,19,19,21,8,47,4,1,3,30,5,23,77,3,16,36,43,5,30,18,12,2,8,10,0,23,3,46,19,27,16,40,0,9,15,4,23,42,4,35,1,0,12,56,13,7,11,28,27,12,0,7,0,27,53,21,9,14,28,9,13,8,16,6,16,42,9,13,1,42,4,11,27,32
37,1,34,7,48,14,15,23,30,28,4,29,8,4,14,28,24,26,0,18,1,11,4,19,11,31,5,4,15,0,6,8,15,16,29,32,1,1,9,28,23,22,13,1,0,13,25,49,26,19,2,13,2,21,4,12,41,28,24,18,16,3,15,19,20,7,5,26,30,7,39,47,3,14,34,1,0,5,15,22,7,13,11,25,37,10,1,41,12,11,9,23,23,45,30,35,13,18,22,2,42,27,14,0,7,36,33,14,34,16,7,18,29,14,19,11,28,29,37,5,21,6,12,4,22,3,9,55,5,4,27,15,15,23,0,11,29,13,2,29,9,5,6,25,14,8,0,23,46,8,3,13,9,11,60,28,7
7,11,0,4,29,20,5,4,23,6,11,19,8,7,25,10,8,3,74,30,21,20,2,22,47,11,43,2,32,32,12,13,54,3,0,33,14,37,9,0,14,10,39,6,13,21,18,18,9,54,15,10,10,19,13,15,34,14,33,24,3,16,26,4,5,2,13,32,48,18,34,2,11,57,29,51,0,19,14,3,6,23,28,8,0,54,19,1,2,33,59,8,2,54,15,8,24,21,2,7,7,8,15,40,20,3,11,36,18,28,5,13,70,22,21,19,30,5,11,38,17,22,22,6,13,39,1,0,0,22,14,15,8,10,4,11,18,0,7,0,56,29,1,12,14,5,28,34,7,18,9,41,28,11,12,18,34
14,15,52,11,18,4,12,19,5,28,19,53,48,22,27,28,11,42,50,6,39,22,25,17,17,10,15,7,8,19,35,20,5,31,25,22,19,27,40,37,20,27,16,2,13,7,31,17,29,9,3,13,34,24,34,9,6,15,24,4,6,29,30,21,17,10,7,17,4,28,31,11,33,21,32,40,21,4,23,10,15,9,17,29,23,29,32,6,16,11,20,19,34,3,4,21,22,0,10,0,12,35,3,23,17,1,34,9,1,31,1,6,26,10,5,21,6,25,29,9,6,11,2,28,2,7,3,35,20,10,33,16,26,25,11,35,4,47,8,32,0,15,10,9,16,0,44,6,0,19,45,6,32,12,5,35,9
13,59,36,26,3,34,37,0,17,9,4,32,17,1,11,5,17,6,0,0,14,1,12,19,16,2,5,18,18,28,8,1,0,13,24,39,8,37,30,29,29,19,6,27,7,47,1,4,19,4,22,14,19,33,18,12,20,18,29,8,4,22,32,21,22,21,38,21,3,20,47,19,11,7,13,19,24,3,40,16,35,36,16,32,21,3,26,5,51,33,6,45,7,17,22,31,57,4,32,10,13,47,12,18,41,38,5,41,19,14,22,18,34,28,12,37,29,21,22,41,20,14,58,0,15,8,3,23,9,19,31,32,33,1,9,9,27,7,13,2,42,23,13,22,7,9,21,19,4,8,20,25,4,3,21,12,2
45,10,14,12,13,19,28,27,15,16,39,6,6,49,11,48,26,3,4,50,21,27,10,12,15,33,14,7,9,5,7,15,8,12,2,3,28,9,38,21,5,5,21,0,3,0,54,31,47,17,40,1,11,25,55,47,12,28,60,11,14,1,36,11,8,5,37,0,3,13,21,36,4,14,1,37,12,27,32,31,28,19,15,6,8,21,6,41,12,15,7,54,9,19,25,13,16,21,37,49,7,39,31,45,0,16,41,29,17,4,13,6,4,35,63,11,2,18,27,45,32,27,12,4,12,3,40,12,29,7,4,18,12,34,43,20,18,9,43,12,0,28,6,2,7,11,5,18,10,6,34,32,37,8,10,21,15
