19,12,18,0,9,50,24,10,3,25,10,34,2,19,5,23,28,11,3,5,8,17,35,27,4,8,14,29,12,9,26,2,7,9,7,7,11,30,25,12,3,1,5,1,16,26,3,29,5,8,15,27
15,2,19,19,53,7,42,19,35,2,15,16,6,2,6,6,2,5,1,35,24,9,28,2,8,23,9,8,18,19,14,6,10,24,10,37,12,19,20,20,18,37,35,18,0,34,7,24,30,0,12,15
7,7,1,5,23,22,1,21,4,5,2,8,14,8,40,9,20,3,9,11,15,13,16,33,33,9,35,26,5,15,13,24,16,5,6,24,24,49,1,34,23,9,0,12,6,3,32,19,3,10,23,17
6,21,9,8,0,22,47,11,31,16,36,3,22,17,47,8,30,39,18,17,28,16,15,18,4,3,18,14,6,53,3,7,6,26,9,12,13,17,4,9,1,12,7,9,41,30,12,10,38,24,35,21
16,42,11,13,29,12,7,58,30,10,9,26,8,14,21,4,1,1,9,9,13,1,13,4,15,23,33,13,5,4,9,8,15,13,13,30,0,12,31,10,36,15,17,28,27,39,5,27,32,18,1,20
2,8,8,8,11,15,9,14,7,17,23,18,10,14,45,10,19,15,26,34,21,15,15,17,4,21,44,25,37,2,19,18,17,25,16,15,3,16,14,10,0,14,29,46,2,29,7,24,11,8,0,4
3,35,25,45,4,12,8,26,12,8,9,14,33,3,49,5,36,7,46,36,29,10,16,10,6,7,18,19,19,24,34,7,41,16,6,8,16,20,2,17,38,9,14,10,27,12,9,37,12,19,2,5
8,48,1,1,1,14,11,26,31,14,1,1,7,21,34,1,22,29,20,2,20,22,24,26,33,17,24,27,5,7,29,6,1,3,14,35,8,19,18,7,16,17,2,29,31,9,8,22,7,19,3,19
23,4,3,9,29,28,5,8,14,20,8,0,19,14,22,12,18,11,8,14,4,7,29,1,1,20,5,8,19,61,14,29,36,47,4,27,30,11,11,2,22,6,42,0,8,9,29,13,22,33,29,4
39,4,29,52,16,1,1,14,17,5,20,7,3,33,5,11,5,22,7,21,36,6,0,23,26,3,11,4,31,5,10,1,7,39,21,23,4,8,40,18,8,9,4,4,27,14,12,11,18,14,12,8
