70,1840,506,349.6,1573.2,2796.8,404.8,4581.6,1352.4,2152.8,8464,2796.8,644,970,3229.2,390,110.4,2116,4701.2,2622,128.8,310,1803.2,1324.8,55.2,837.2,250,3284.4,699.2,193.2,5602.8,4195.2,1987.2,3082,450.8,782
736,2704.8,550,500,607.2,3229.2,2281.6,5989.2,524.4,128.8,1766.4,496.8,1472,846.4,1821.6,8648,579.6,3459.2,837.2,1030.4,8464,690,404.8,579.6,2723.2,736,1876.8,8648,3312,540,386.4,1472,5428,828,600,2382.8
3477.6,423.2,625.6,1987.2,3588,1269.6,1472,1490.4,55.2,1932,800.4,460,874,410,110.4,3312,6348,410,2622,2576,2760,1048.8,478.4,1186.8,2704.8,1876.8,82.8,3956,790,331.2,533.6,1610,7139.2,3726,2300,294.4
460,662.4,128.8,1711.2,368,846.4,650,3643.2,6440,763.6,92,883.2,64.4,1886,1324.8,6403.2,3155.6,1048.8,460,4195.2,7360,810,598,358.8,552,1472,2484,1398.4,257.6,2024,1729.6,1104,2290.8,73.6,3928.4,3312
2189.6,3404,864.8,1545.6,6375.6,4894.4,331.2,1876.8,588.8,1094.8,2024,3312,1104,900,780,7139.2,6789.6,920,4250.4,780,2760,3532.8,966,1996.4,119.6,3312,4526.4,220,1840,3900.8,4636.8,1196,828,5354.4,662.4,662.4
772.8,2254,920,3128,5860.4,1472,3606.4,650,3404,870,1545.6,7948.8,828,128.8,5731.6,1692.8,496.8,220.8,165.6,1251.2,506,330,1784.8,220.8,1048.8,4140,1738.8,257.6,2060.8,5547.6,7452,4186,5372.8,331.2,579.6,441.6
1030.4,1104,404.8,3054.4,3799.6,791.2,5133.6,2382.8,3036,3680,257.6,110.4,2254,700,1030.4,3891.6,2290.8,901.6,625.6,2760,1518,2152.8,350,4471.2,791.2,3864,7783.2,4094,1656,450.8,552,5667.2,5446.4,1564,1435.2,377.2
650,4765.6,515.2,8188,2760,10,2097.6,386.4,2392,101.2,441.6,1711.2,4443.6,220.8,1711.2,6440,790,1582.4,2024,170,900,4121.6,4278,460,3312,2796.8,1619.2,2244.8,368,993.6,2290.8,2815.2,6532,966,1784.8,1987.2
3680,165.6,6844.8,2944,487.6,4784,6440,331.2,7212.8,3560.4,1545.6,644,2944,4048,1508.8,1490.4,202.4,4692,1159.2,230,3532.8,3284.4,2208,3588,110.4,552,165.6,1030.4,248.4,5796,2318.4,870,600,3680,1711.2,1729.6
6992,828,1518,3394.8,6403.2,2244.8,7038,6035.2,730,1840,3928.4,1140.8,883.2,5078.4,7369.2,276,5888,92,1104,469.2,1766.4,662.4,3128,846.4,1159.2,1288,3606.4,2290.8,423.2,3680,2852,130,1876.8,1619.2,2097.6,3348.8
5188.8,2870.4,1426,4802.4,4195.2,6706.8,2898,1380,515.2,1159.2,7534.8,2438,956.8,5152,2898,910.8,3606.4,4416,560,644,9200,469.2,211.6,1656,3091.2,73.6,7728,2511.6,73.6,1729.6,1058,1407.6,414,6900,3459.2,2511.6
690,1140.8,5336,3588,3404,4094,5796,1840,717.6,662.4,230,1048.8,4600,4029.6,2907.2,1564,1545.6,2944,7360,4572.4,993.6,2208,5704,4554,818.8,3091.2,1058,3128,1932,3606.4,4830,386.4,3606.4,1352.4,3532.8,700
1876.8,5878.8,480,3155.6,6844.8,1582.4,276,5731.6,7820,138,5152,1564,4968,423.2,1729.6,3891.6,690,210,552,1711.2,4572.4,1030.4,2704.8,820,5924.8,2511.6,6624,7948.8,1821.6,130,404.8,570.4,800.4,625.6,870,368
370,1021.2,6035.2,2401.2,4416,515.2,480,4232,5023.2,5152,2576,4416,690,5520,441.6,5520,883.2,248.4,6256,662.4,506,4885.2,3220,1472,2925.6,276,404.8,184,5474,3974.4,860,864.8,2622,3827.2,4048,5520
1177.6,552,5630.4,883.2,2539.2,542.8,1159.2,5244,4857.6,5814.4,2208,883.2,3569.6,248.4,2428.8,2070,1012,4554,3128,1416.8,5704,4250.4,2208,552,7700.4,119.6,2649.6,2060.8,294.4,3992.8,2649.6,3017.6,3588,6108.8,2070,800
2281.6,7369.2,5409.6,2815.2,3560.4,956.8,4636.8,1490.4,3496,4968,2346,2070,1674.4,3404,2649.6,478.4,220.8,2815.2,1472,496.8,524.4,110.4,1978,70,110.4,50,7268,699.2,2576,1987.2,27.6,726.8,956.8,1177.6,2208,2944
2134.4,3128,5087.6,3146.4,3146.4,73.6,1913.6,1582.4,441.6,8188,699.2,1656,708.4,4489.6,3956,4342.4,2281.6,5188.8,956.8,6550.4,809.6,230,772.8,940,7820,496.8,810,653.2,7176,5299.2,828,368,358.8,620,1932,1573.2
266.8,607.2,6182.4,6256,469.2,590,2852,1380,4508,6256,340,322,828,6532,883.2,4232,3128,708.4,423.2,7534.8,1159.2,8031.6,5354.4,1674.4,2944,1600.8,1196,940,3634,1426,1352.4,3358,496.8,303.6,3808.8,10
1159.2,790,736,1269.6,2944,1564,1656,920,993.6,2723.2,3753.6,441.6,3891.6,3772,469.2,634.8,6044.4,828,3496,607.2,920,3532.8,4912.8,864.8,257.6,800.4,2944,414,1214.4,5409.6,1159.2,3753.6,1131.6,3891.6,2428.8,2346
1352.4,6246.8,5667.2,2980.8,625.6,662.4,1518,520,2833.6,211.6,634.8,1987.2,5428,322,1656,7617.6,202.4,2852,5050.8,368,8031.6,2576,7617.6,470,1748,772.8,496.8,644,1104,920,1159.2,1380,3404,3312,588.8,3864
2208,300,5520,1508.8,740,6311.2,1876.8,644,993.6,1582.4,147.2,1288,202.4,3275.2,1398.4,588.8,30,754.4,2373.6,7700.4,404.8,1472,966,750,1508.8,607.2,1564,980,1288,3385.6,147.2,7728,5796,1048.8,1738.8,1711.2
2456.4,5188.8,441.6,18.4,119.6,579.6,3735.2,2502.4,165.6,4784,4140,6771.2,5244,2723.2,791.2,1177.6,644,4692,414,662.4,1913.6,147.2,4692,3238.4,322,4305.6,1453.6,1729.6,2944,496.8,1067.2,202.4,956.8,2235.6,740,717.6
2318.4,3910,1527.2,3256.8,2318.4,5152,8740,6108.8,1324.8,5814.4,1656,1159.2,640,147.2,257.6,5023.2,294.4,864.8,2760,3726,3312,73.6,368,3698.4,956.8,1582.4,2649.6,110.4,395.6,1766.4,300,1453.6,460,310,3726,2539.2
846.4,607.2,524.4,1416.8,1950.4,3266,4931.2,874,2060.8,5547.6,3422.4,2152.8,386.4,864.8,2732.4,699.2,1380,717.6,1978,478.4,6900,3220,3128,496.8,2244.8,1619.2,883.2,460,7203.6,3799.6,8740,1619.2,671.6,2806,165.6,4140
5814.4,390,1840,2870.4,2208,800,4416,4802.4,6053.6,138,2134.4,4554,128.8,3569.6,3201.6,1472,699.2,1913.6,2392,670,736,634.8,3900.8,1380,4968,1251.2,4581.6,3229.2,404.8,2898,2668,1306.4,830,1343.2,410,257.6
690,414,6955.2,1600.8,4324,414,50,331.2,1913.6,8280,3808.8,1610,1288,55.2,50,720,920,772.8,736,1545.6,2060.8,386.4,73.6,294.4,150,1876.8,2686.4,690,644,8280,73.6,7360,3772,800.4,1288,579.6
2318.4,920,1748,3974.4,368,1766.4,6624,6992,20,5731.6,726.8,598,4968,5060,3753.6,430,1232.8,2392,1288,9200,5244,2318.4,469.2,5713.2,5216.4,8114.4,4416,670,662.4,266.8,4121.6,6329.6,358.8,4802.4,3091.2,441.6
3864,1729.6,3680,1619.2,1269.6,620,358.8,2401.2,515.2,1738.8,5244,8197.2,1573.2,165.6,128.8,3229.2,4692,2134.4,1343.2,7286.4,4636.8,745.2,828,4912.8,3312,2732.4,1159.2,1766.4,3560.4,18.4,1150,1840,6992,110,1840,184
