53,27,48,59,21,0,0,49,25,12,58,0,0,0,0,0,0,0,0,0,0,0,0,40,27,53,10,13,56,17,0,0,25,29,51,28,
44,38,48,49,38,0,0,39,48,29,59,18,0,0,0,25,38,22,25,35,0,16,0,0,0,0,0,0,0,0,0,0,27,50,51,28,
14,48,42,48,21,36,33,50,0,0,0,0,0,0,0,20,51,48,16,47,0,52,0,0,45,11,48,39,36,37,44,0,0,10,18,59,
19,26,47,23,54,57,28,57,0,47,47,0,0,0,0,37,33,16,0,0,0,0,0,22,59,20,45,26,15,41,23,55,0,0,22,19,
0,0,38,10,52,39,10,16,0,45,36,10,44,0,0,0,0,0,0,38,0,0,48,56,12,57,38,34,47,17,54,51,15,35,0,0,
0,0,0,0,0,0,29,31,0,54,21,13,14,15,52,26,59,46,55,32,0,0,0,27,23,44,59,46,12,45,57,25,48,35,43,0,
0,0,0,0,0,0,37,57,0,47,57,41,54,18,24,36,31,47,11,44,0,47,34,0,54,19,49,38,17,21,18,18,54,0,0,0,
0,0,0,0,0,0,0,0,0,0,13,37,28,28,15,17,25,42,18,0,0,52,37,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,50,0,0,0,15,40,51,45,53,43,49,41,10,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,46,10,46,18,18,23,41,31,58,31,19,39,47,30,14,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,37,15,48,11,44,35,16,34,51,31,20,32,54,43,
0,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,38,23,42,41,
51,29,29,59,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,16,11,15,
38,19,14,14,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,37,36,39,41,
9,5,3,5,1,7,0,0,0,0,0,3,0,0,0,0,0,0,24,32,47,0,0,0,0,0,0,0,0,0,0,0,40,39,29,42,
6,6,5,3,2,5,0,0,0,0,0,7,0,0,0,0,0,52,40,24,52,55,0,0,0,0,0,0,0,0,0,0,0,28,33,57,
2,2,9,4,3,8,0,0,0,0,0,4,0,0,0,0,0,0,17,10,32,26,28,10,0,0,0,0,0,0,0,0,0,0,20,49,
0,0,0,2,2,8,0,0,0,0,8,6,7,1,0,0,0,0,0,14,22,11,57,27,0,0,0,0,0,0,0,0,0,0,0,0,
1,7,0,0,0,0,0,0,0,0,1,5,4,7,0,0,0,36,23,0,0,0,25,58,35,48,0,0,0,0,0,0,0,0,0,0,
6,5,0,0,0,0,0,5,2,2,8,6,9,7,0,0,0,31,43,16,24,43,12,43,0,0,0,0,0,0,0,0,0,0,0,0,
7,7,0,0,0,0,0,3,7,9,2,4,5,1,0,0,0,24,17,48,11,44,33,30,0,0,0,0,0,0,0,0,0,0,0,0,
1,4,0,0,0,0,0,8,5,4,4,5,2,3,0,0,0,23,35,36,54,11,39,28,0,0,0,0,0,0,0,0,0,0,0,0,
5,7,1,8,7,2,2,4,1,1,24,5,2,3,0,0,0,56,59,17,21,34,10,56,0,18,47,59,42,23,0,0,0,0,0,0,
7,1,1,4,6,9,4,5,4,35,43,6,8,7,0,0,0,48,47,26,21,45,24,19,0,39,11,58,43,20,33,0,0,0,0,0,
4,8,1,7,3,2,6,3,32,36,59,9,4,2,0,0,0,51,57,43,22,38,29,0,0,47,34,0,0,0,25,24,17,0,0,0,
1,8,9,3,2,3,9,8,6,6,6,5,4,4,0,0,0,0,0,0,0,29,0,0,0,33,53,26,0,0,15,15,43,0,0,0,
7,4,4,9,6,8,5,2,2,1,5,9,6,7,0,0,0,0,0,0,0,0,0,0,0,43,45,33,54,17,47,0,0,0,0,0,
3,3,4,5,2,2,4,9,8,5,6,1,6,5,0,0,0,0,0,0,0,0,0,0,0,51,18,55,38,47,0,0,0,0,0,0,
