2015,4750,1065,2310,858,4947,578,7480,980,6561,3564,3312,182,736,3870,2700,1482,1026,420,5934,112,3854,3420,4020,792,6142,3570,6984,4732,1728,300,2013,3762,388,1003,204,4386,584,5000,6048,1456,3069,864,8820,4154,3654,1364,132,1617,4212,44,1332,2970,609,9800,2465,720,2000,1508,1050,551,2592
135,1064,2268,228,352,6596,104,1634,730,1140,364,1953,93,2583,884,5451,8910,312,4214,2508,2080,204,1079,4758,4756,2015,450,360,135,392,3416,1000,2628,900,414,222,540,675,2430,2001,6800,7533,3408,322,1566,588,1702,949,3200,3977,3542,168,468,2250,3500,330,1980,295,348,1495,2912,1378
5546,988,5472,657,50,480,4365,1333,1020,256,182,18,7189,861,1683,7052,4230,1584,7998,378,180,1750,475,1691,5451,2538,1500,52,799,948,8019,350,3182,4400,2480,342,7426,3854,4160,2952,516,9700,6241,280,2752,2666,5848,1080,1890,574,1900,6688,3588,540,3182,1230,966,4500,20,1512,664,6004
649,2352,1728,5766,3577,629,244,1856,1155,2745,497,80,98,528,2583,1281,14,711,225,768,4845,6557,4131,1512,5546,190,125,3589,300,4050,196,948,292,6,1540,270,264,1378,1240,3168,1728,4331,952,4675,1620,7700,506,1353,105,1080,7209,1088,4018,726,78,2806,7176,2100,672,1134,1095,1856
3066,2772,7735,4464,6912,512,623,4356,885,1092,2196,480,120,2880,27,3692,315,2494,1056,5110,948,660,4212,2231,236,846,1121,720,888,672,5220,255,576,3196,3726,1073,3430,5733,2430,620,410,5096,920,1711,2640,1360,3430,1395,680,183,814,1344,2736,6887,8019,350,18,3286,690,1134,2541,1537
196,2408,4655,3404,9215,2574,16,4418,4209,2714,1820,4753,9300,1767,360,1232,8370,160,460,1200,2275,364,24,1430,6336,4800,700,5544,5950,2106,450,1628,7154,340,4802,3312,7546,4140,1643,312,5376,3960,675,1672,2484,2438,5976,720,3485,1188,585,9405,4731,4960,2800,1300,5200,7387,528,7224,4108,2695
624,4410,1425,400,4672,3450,4300,5684,7308,4260,3500,8277,520,3472,2420,3358,5236,1280,3569,1728,3780,4029,2769,2185,744,2268,3100,4503,1001,5100,442,96,2241,3686,768,6806,5376,2720,830,3948,360,3416,296,1547,6596,1040,168,1924,2400,1440,651,4200,216,3024,2850,2193,2028,2720,747,120,4015,4818
435,1080,6188,1584,506,2291,1890,990,1920,1944,3600,5742,455,312,112,72,2350,1280,1302,5250,1155,374,1027,6076,770,5772,3843,651,322,4897,2336,1794,1932,2170,6566,2310,2200,162,3515,760,2156,4950,6300,2231,1656,86,4536,1274,105,1080,504,4158,7138,6370,616,351,5865,1200,616,1562,4914,4661
7735,4002,5170,2268,4455,4692,782,200,329,2322,930,140,5609,4200,1888,1539,2160,154,2522,594,69,1458,208,1079,612,1224,6298,7178,256,3055,11,574,3526,8200,1470,2074,182,91,7189,5025,1770,630,988,1140,2838,1920,4386,1460,1540,7128,3483,190,9118,3040,1914,3111,1664,576,1656,414,3198,8827
9118,468,5200,2773,2538,741,1323,1258,154,870,3050,1768,7520,1456,5330,1176,2016,1620,5643,5082,6956,1184,564,7081,1512,760,2522,20,2680,512,3752,4278,720,7426,4118,2716,2025,3953,3408,2808,529,200,420,1936,1980,1276,96,5244,2415,1232,228,4512,546,1136,1683,56,1518,2816,205,672,148,168
1222,1900,3420,2484,2640,600,2880,3441,954,1092,6319,726,5782,106,3276,480,150,1104,490,7030,344,3404,1720,27,3600,1071,312,6364,336,1830,910,336,4389,3024,176,380,324,588,1242,6715,1024,2328,1501,96,1820,2550,1560,1665,1254,616,2574,8091,990,2592,46,1914,1273,2088,4914,6014,2331,4380
8256,768,2585,5440,630,195,2800,2079,522,5733,6900,1080,120,1974,624,5225,3280,708,1927,65,666,322,403,8455,1908,2436,3927,49,2928,4680,6399,1500,4048,168,6090,874,315,1863,4059,1600,1235,3953,3933,4278,2511,7440,315,2739,6318,1560,2250,8190,1134,4980,96,486,4623,1403,486,1872,2600,2736
456,455,522,363,1300,948,600,464,2816,612,6240,2821,1782,6723,3952,518,945,3128,180,3519,5785,2730,198,777,1280,3354,9800,168,1750,1320,455,480,3772,2849,1909,445,782,1134,782,4512,5310,4161,1140,3136,2442,2970,6794,4125,3162,4500,2080,5180,1372,1273,399,8640,8148,5146,975,5544,2065,6885
1188,240,2257,8820,3760,495,7007,3400,837,840,9120,374,960,1056,304,3528,3280,1679,532,4725,4836,3200,2522,304,880,3515,3380,4345,2400,481,1088,144,7644,360,126,145,747,610,3726,184,1050,6237,3441,6006,2968,4700,300,462,2530,540,2448,4160,6478,1188,1292,5696,1078,2881,287,3150,1880,3201
2232,3040,1147,871,384,7440,4489,3818,2544,6643,420,2112,3034,444,4756,2360,792,7740,1953,4819,468,2993,630,1554,247,300,6417,4731,5238,2291,1380,3686,611,4860,1771,2065,5247,2392,2772,1715,2200,208,1885,1240,1632,8096,1600,3783,7544,4275,4752,2016,1560,4743,6642,9114,6192,294,225,25,3604,686
3813,1505,5610,1596,3612,4416,6132,3286,910,1352,99,500,4623,215,4950,1128,5824,3276,4959,430,2871,2200,2450,640,19,288,360,380,1394,570,1292,4183,89,198,5733,3713,1920,8700,2340,1980,2700,1332,183,216,4512,962,6474,1110,2278,2054,276,2209,4455,1769,7387,420,3000,1073,2871,94,4128,1026
90,172,56,2030,2016,5002,2070,2574,2160,78,6806,1230,330,1848,3816,312,756,4100,3696,728,2904,2574,858,385,1746,285,1961,70,2700,240,3599,3081,660,29,875,2700,6557,4508,6461,2508,6956,1188,900,132,2300,2838,828,1404,2555,972,1568,1716,1612,1305,1456,192,306,5412,1378,2183,1775,539
57,776,4950,5332,3840,4410,4600,1334,150,1139,3348,128,890,427,150,1095,200,3504,400,1785,4455,664,800,330,168,291,3071,285,1792,6408,5200,3705,6237,2736,168,765,2133,612,4104,2835,3060,1216,129,2944,603,209,1342,2925,225,8330,1763,841,396,6084,1632,462,270,324,3696,1176,2214,1632
430,468,216,5605,5544,8134,1156,408,4048,316,2849,1326,506,4125,215,270,882,3796,301,675,6237,119,7900,5820,8232,7448,4300,1656,2001,460,936,196,2090,1904,5329,8514,576,806,4704,4092,3306,3588,3150,4891,5917,112,3861,1200,2542,7584,2058,850,2808,1378,736,2664,4128,1080,2242,658,4851,2345
2040,6992,8300,3835,570,3120,1407,2185,3068,294,795,5100,728,7000,6156,480,24,1720,216,35,120,6461,132,7650,792,324,4818,1376,6068,5525,3036,1012,870,3066,665,546,5133,760,282,966,1680,4928,858,1276,2730,4290,725,450,3105,1175,44,7410,340,3038,2511,990,2450,3760,3886,651,5254,6174
256,532,2332,165,364,4116,469,3400,63,220,2183,2622,6806,264,4059,204,2970,2695,800,220,1984,468,5313,3420,1683,5952,3315,704,700,4452,5270,3127,7553,2077,1332,7161,1848,1197,4130,112,925,1160,380,1900,80,2838,3735,3432,1568,2924,4225,2331,6208,1584,686,3245,2646,5184,1606,403,77,315
864,846,99,495,7189,22,4524,2100,4888,8217,18,756,429,3040,6300,2379,1920,3698,3354,1534,3040,3192,4644,5456,4770,5940,4365,320,539,351,2772,6764,224,5727,8400,1328,3456,2639,1144,1520,672,4640,1136,6204,3696,1404,1449,1587,1682,820,3570,1116,1968,4615,5550,5301,3933,287,480,1054,7470,4940
415,1974,5904,143,8075,378,3564,945,5544,2538,490,5490,4500,355,30,1632,5335,957,3519,150,3698,1083,871,3528,4977,567,234,2080,5964,1425,1470,2255,884,3864,1066,312,2812,9215,2418,7050,5264,4209,1674,1452,1183,498,4836,6566,900,729,1311,5796,1431,1920,5829,4,5488,84,276,1144,6600,1320
1517,671,2117,4560,2090,3344,495,130,3720,936,1568,2964,3348,3038,989,567,35,1200,1156,3478,308,837,6450,2013,6006,4128,3770,1080,2035,3350,2520,518,2368,1392,5135,3773,873,605,5859,1456,845,3392,62,1692,1456,144,3408,672,1672,581,255,3575,924,2867,1188,340,1372,2992,1656,615,576,5162
3634,7505,2209,4278,3268,900,7100,7300,3116,4368,5376,2436,5280,8091,726,1980,768,2250,5451,725,3795,273,6256,2982,1953,1239,1120,3381,493,7656,2814,96,5310,8100,2100,1653,741,672,240,1776,754,770,6059,1664,480,2523,2021,165,8556,1496,970,708,18,7254,462,512,9700,195,228,61,6391,6132
3344,9000,646,4897,4500,2255,1274,99,3074,3360,2352,402,5538,120,4950,1806,768,5490,1012,1840,1776,2360,3010,1674,1881,96,328,270,6132,632,4930,3818,8360,2368,594,56,500,637,8245,729,2112,7998,3000,2964,1430,2236,1980,8004,860,2436,3408,1095,28,1020,2405,3400,1960,1470,1352,76,2294,1134
87,5780,638,6208,105,2112,3534,1178,444,89,3069,1763,7392,1504,1344,1340,1700,136,2747,2332,1204,120,4620,2520,360,2686,3068,8256,504,1064,528,7708,2883,3245,2054,2730,1540,6390,6080,3953,696,483,1729,5568,1665,1547,4800,288,2262,1178,1849,913,765,4752,438,3604,24,2240,552,5250,6175,120
833,328,936,102,598,3726,1209,1881,360,156,4165,3330,722,2277,3783,176,6336,1104,12,5159,3168,2619,7308,2528,1798,1000,9108,352,2318,5841,2982,2928,2482,550,2142,368,256,1408,3520,680,696,3599,2021,1976,1518,864,5346,594,1971,4118,3741,2379,198,1120,20,1541,6633,5800,3901,6039,89,31
106,4018,310,4183,4128,1472,8134,4800,4880,546,3456,702,1066,874,100,5580,4150,8448,1078,828,6693,7488,1826,4950,200,36,3120,595,2475,740,150,1168,60,280,1040,6806,6660,629,120,5280,726,294,1887,456,1682,1872,3100,1513,940,960,3234,4785,375,3510,1512,6142,594,1065,2904,4176,4187,2108
4080,2407,672,1157,94,4802,1035,1768,210,5168,8019,520,168,315,2600,1562,4544,3243,20,768,1392,2590,282,1368,198,8910,1407,2332,3036,3520,4524,195,1425,59,1014,6256,120,4050,1421,780,2592,1536,1189,3038,3174,255,5544,120,1600,3952,3360,560,2765,135,6675,2728,1978,819,3486,2090,1980,1276
870,2175,1775,9600,2583,4331,2460,5148,3942,564,2360,5427,1456,4536,330,1140,7138,1715,3071,486,1575,880,1150,3696,2714,2627,4956,5187,5913,3551,5133,1200,585,3600,1064,1680,1292,96,3392,697,20,7134,4740,80,992,4140,6942,2184,1890,5226,289,2881,403,918,1443,3168,574,148,380,336,6308,2772
1365,5092,3834,183,2666,1092,1800,3960,1360,396,2232,6900,5194,84,5704,282,3564,3920,8554,1836,8272,126,368,7600,1725,285,5544,320,2883,483,806,285,1764,1400,2052,2444,1748,1770,1892,132,126,102,696,1421,3024,224,1820,3330,8835,3479,232,2000,135,4672,310,800,1794,1722,295,1782,4620,1632
702,4176,1692,492,1110,1672,5978,2295,2832,5664,4902,4988,1722,234,1240,11,5767,828,105,2280,1036,4350,3612,234,5238,1044,2523,6210,2520,2262,2880,210,1292,1484,5162,2624,737,540,3150,520,1584,936,1972,924,750,174,1088,32,168,247,3854,2610,979,2511,3105,126,897,5850,864,1116,1269,1958
3657,5382,5544,492,3136,54,234,3080,525,2304,1395,88,2736,624,44,3380,1296,3904,1927,1800,70,7644,2520,2650,560,6603,3975,1692,1235,1550,756,1900,154,4697,2210,3626,660,1377,1260,3168,1470,530,1062,756,4332,3172,1971,1659,2158,200,1809,2600,1106,250,1672,66,5850,2840,3127,1196,2255,2162
1386,3348,1927,6097,3234,89,3145,4154,1156,2880,1680,1691,3825,1775,5865,338,5772,850,396,531,1680,2706,2448,4256,2108,903,7007,1034,940,2016,765,2958,4056,616,4810,136,3060,7008,4557,1755,7448,280,2112,3478,248,774,2548,2592,121,3213,3956,2744,738,4500,1680,2907,522,5920,5600,308,5194,1144
3204,1580,153,817,663,2079,4278,2880,840,1500,8178,6930,1815,4400,12,7480,8277,4560,2156,1472,1003,6138,28,1209,5250,459,440,1260,4352,3190,2448,365,6468,315,660,3672,4526,462,3936,4368,2100,1440,8633,2530,6072,4,756,8091,520,649,1170,5551,4440,1680,7742,684,1935,7308,1666,272,1533,510
4350,74,1444,63,966,7885,2511,754,880,264,1344,2457,3239,4860,600,1464,612,1197,756,2340,1435,7700,91,480,2508,1118,3312,1386,2412,3520,4260,5320,4895,7120,1196,2499,1975,8370,1458,486,2025,644,3182,1978,1904,2484,1100,1131,160,1462,4067,1680,16,1150,825,3174,4731,318,3599,539,4218,4752
75,1190,168,5112,6786,952,504,1551,1060,1755,3872,3696,135,600,540,340,990,414,2108,396,3600,1189,4389,1444,210,4590,1241,6958,3956,2128,3776,2432,1806,455,1136,3290,2340,957,4653,3075,3976,156,150,2442,3618,5200,273,15,2442,1768,4290,2544,108,3520,4968,930,1836,2380,522,3672,2436,5518
2944,48,3315,7176,9009,5727,250,1020,168,56,110,930,1032,624,4400,1496,5605,1032,270,5481,2277,4028,3520,629,1230,2432,3510,136,5355,2079,4599,160,945,2670,3850,3965,5184,3650,440,5940,168,776,2432,56,4650,4814,1190,6557,588,624,1386,4836,645,5800,340,464,450,6237,680,1295,918,1606
4675,2726,1640,6499,3162,944,8075,62,540,901,8366,2975,28,1891,714,232,4606,4214,1449,294,1320,646,2516,1701,2592,2548,434,1232,162,210,1458,888,330,2494,3953,3952,2760,3696,2880,836,1254,3626,4042,3526,1296,4240,2295,3468,663,798,3354,2542,920,255,814,462,3010,1368,1364,5929,5200,2403
